"C","Real-Time Hourly System Load Report"
"C","Filename: rt_hourlysysload_20230101_20231231.csv"
"C","Report for: 01/01/2023 - 12/31/2023"
"C","Report generated: 08/15/2024 14:23:01 EDT"
"H","Date","Hour Ending","Total Load"
"H","Date","HE","MWh"
"D","01/01/2023","01",10352.99
"D","01/01/2023","02",9922.39
"D","01/01/2023","03",10144.61
"D","01/01/2023","04",10229.76
"D","01/01/2023","05",10193.64
"D","01/01/2023","06",10364.43
"D","01/01/2023","07",10770.25
"D","01/01/2023","08",10816.32
"D","01/01/2023","09",10828.91
"D","01/01/2023","10",10781.32
"D","01/01/2023","11",10684.99
"D","01/01/2023","12",10623.49
"D","01/01/2023","13",10798.52
"D","01/01/2023","14",10625.56
"D","01/01/2023","15",11099.65
"D","01/01/2023","16",11979.78
"D","01/01/2023","17",13175.84
"D","01/01/2023","18",14025.04
"D","01/01/2023","19",13868.91
"D","01/01/2023","20",13521.51
"D","01/01/2023","21",13065.06
"D","01/01/2023","22",12463.25
"D","01/01/2023","23",11715.25
"D","01/01/2023","24",11095.88
"D","01/02/2023","01",10728.77
"D","01/02/2023","02",10434.6
"D","01/02/2023","03",10641.09
"D","01/02/2023","04",10670.54
"D","01/02/2023","05",10651.18
"D","01/02/2023","06",10841.78
"D","01/02/2023","07",11562.62
"D","01/02/2023","08",12169.05
"D","01/02/2023","09",12552.91
"D","01/02/2023","10",12788.7
"D","01/02/2023","11",12866.0
"D","01/02/2023","12",12847.0
"D","01/02/2023","13",13001.06
"D","01/02/2023","14",12903.21
"D","01/02/2023","15",13015.74
"D","01/02/2023","16",13471.69
"D","01/02/2023","17",14596.81
"D","01/02/2023","18",15538.67
"D","01/02/2023","19",15346.29
"D","01/02/2023","20",14861.49
"D","01/02/2023","21",14265.47
"D","01/02/2023","22",13444.64
"D","01/02/2023","23",12480.18
"D","01/02/2023","24",11869.33
"D","01/03/2023","01",11614.23
"D","01/03/2023","02",11555.97
"D","01/03/2023","03",11641.88
"D","01/03/2023","04",11715.34
"D","01/03/2023","05",11895.21
"D","01/03/2023","06",12274.42
"D","01/03/2023","07",13515.35
"D","01/03/2023","08",14336.84
"D","01/03/2023","09",14645.88
"D","01/03/2023","10",14855.36
"D","01/03/2023","11",15053.32
"D","01/03/2023","12",15189.09
"D","01/03/2023","13",15242.07
"D","01/03/2023","14",15170.55
"D","01/03/2023","15",15039.61
"D","01/03/2023","16",15080.68
"D","01/03/2023","17",15684.44
"D","01/03/2023","18",16167.97
"D","01/03/2023","19",15867.02
"D","01/03/2023","20",15401.35
"D","01/03/2023","21",14847.03
"D","01/03/2023","22",13928.0
"D","01/03/2023","23",12823.35
"D","01/03/2023","24",11885.67
"D","01/04/2023","01",11803.23
"D","01/04/2023","02",11740.06
"D","01/04/2023","03",11743.27
"D","01/04/2023","04",11732.04
"D","01/04/2023","05",11990.2
"D","01/04/2023","06",12148.54
"D","01/04/2023","07",12895.67
"D","01/04/2023","08",13848.56
"D","01/04/2023","09",14086.48
"D","01/04/2023","10",14073.27
"D","01/04/2023","11",13945.06
"D","01/04/2023","12",13800.24
"D","01/04/2023","13",13783.98
"D","01/04/2023","14",13773.06
"D","01/04/2023","15",13902.87
"D","01/04/2023","16",14202.13
"D","01/04/2023","17",14984.45
"D","01/04/2023","18",15601.19
"D","01/04/2023","19",15422.99
"D","01/04/2023","20",14924.33
"D","01/04/2023","21",14399.52
"D","01/04/2023","22",14166.61
"D","01/04/2023","23",12913.62
"D","01/04/2023","24",11927.77
"D","01/05/2023","01",10894.24
"D","01/05/2023","02",10918.11
"D","01/05/2023","03",10759.62
"D","01/05/2023","04",10514.9
"D","01/05/2023","05",10804.99
"D","01/05/2023","06",11359.93
"D","01/05/2023","07",12754.77
"D","01/05/2023","08",13842.97
"D","01/05/2023","09",14247.33
"D","01/05/2023","10",14368.6
"D","01/05/2023","11",14484.47
"D","01/05/2023","12",14540.79
"D","01/05/2023","13",14493.82
"D","01/05/2023","14",14437.08
"D","01/05/2023","15",14496.01
"D","01/05/2023","16",14763.36
"D","01/05/2023","17",15466.43
"D","01/05/2023","18",16083.26
"D","01/05/2023","19",15877.01
"D","01/05/2023","20",15376.16
"D","01/05/2023","21",14797.38
"D","01/05/2023","22",14201.15
"D","01/05/2023","23",12956.88
"D","01/05/2023","24",11986.05
"D","01/06/2023","01",11678.57
"D","01/06/2023","02",11507.66
"D","01/06/2023","03",11221.33
"D","01/06/2023","04",11542.39
"D","01/06/2023","05",11900.77
"D","01/06/2023","06",12698.41
"D","01/06/2023","07",13592.42
"D","01/06/2023","08",14639.55
"D","01/06/2023","09",15062.94
"D","01/06/2023","10",15032.48
"D","01/06/2023","11",15183.31
"D","01/06/2023","12",15271.46
"D","01/06/2023","13",15234.63
"D","01/06/2023","14",15215.65
"D","01/06/2023","15",15128.11
"D","01/06/2023","16",15188.37
"D","01/06/2023","17",15764.71
"D","01/06/2023","18",16265.01
"D","01/06/2023","19",15895.4
"D","01/06/2023","20",15343.59
"D","01/06/2023","21",14762.29
"D","01/06/2023","22",14051.69
"D","01/06/2023","23",13159.0
"D","01/06/2023","24",12296.75
"D","01/07/2023","01",11938.72
"D","01/07/2023","02",11509.6
"D","01/07/2023","03",11276.04
"D","01/07/2023","04",11196.7
"D","01/07/2023","05",11315.92
"D","01/07/2023","06",11580.3
"D","01/07/2023","07",12072.2
"D","01/07/2023","08",12837.82
"D","01/07/2023","09",13208.28
"D","01/07/2023","10",13438.67
"D","01/07/2023","11",13340.19
"D","01/07/2023","12",12925.03
"D","01/07/2023","13",12595.9
"D","01/07/2023","14",12733.43
"D","01/07/2023","15",13170.21
"D","01/07/2023","16",13648.58
"D","01/07/2023","17",14504.18
"D","01/07/2023","18",15152.76
"D","01/07/2023","19",14991.63
"D","01/07/2023","20",14615.35
"D","01/07/2023","21",14189.62
"D","01/07/2023","22",13670.47
"D","01/07/2023","23",13001.58
"D","01/07/2023","24",12380.03
"D","01/08/2023","01",12140.67
"D","01/08/2023","02",12104.89
"D","01/08/2023","03",11986.62
"D","01/08/2023","04",12247.93
"D","01/08/2023","05",12140.53
"D","01/08/2023","06",12407.25
"D","01/08/2023","07",12454.26
"D","01/08/2023","08",13078.63
"D","01/08/2023","09",12944.64
"D","01/08/2023","10",12514.06
"D","01/08/2023","11",11963.25
"D","01/08/2023","12",11775.91
"D","01/08/2023","13",11707.36
"D","01/08/2023","14",12000.15
"D","01/08/2023","15",12615.53
"D","01/08/2023","16",13784.69
"D","01/08/2023","17",15199.06
"D","01/08/2023","18",16173.99
"D","01/08/2023","19",16094.88
"D","01/08/2023","20",15708.9
"D","01/08/2023","21",15177.87
"D","01/08/2023","22",14376.56
"D","01/08/2023","23",13430.75
"D","01/08/2023","24",12607.39
"D","01/09/2023","01",12267.84
"D","01/09/2023","02",12533.79
"D","01/09/2023","03",12442.82
"D","01/09/2023","04",12217.27
"D","01/09/2023","05",12538.12
"D","01/09/2023","06",12811.96
"D","01/09/2023","07",14268.11
"D","01/09/2023","08",15276.09
"D","01/09/2023","09",15341.84
"D","01/09/2023","10",14871.01
"D","01/09/2023","11",14224.9
"D","01/09/2023","12",13705.44
"D","01/09/2023","13",13547.04
"D","01/09/2023","14",13193.0
"D","01/09/2023","15",13589.77
"D","01/09/2023","16",14337.52
"D","01/09/2023","17",15613.39
"D","01/09/2023","18",16609.21
"D","01/09/2023","19",16534.01
"D","01/09/2023","20",16127.83
"D","01/09/2023","21",15617.44
"D","01/09/2023","22",14720.87
"D","01/09/2023","23",13551.03
"D","01/09/2023","24",12737.1
"D","01/10/2023","01",12620.78
"D","01/10/2023","02",11966.69
"D","01/10/2023","03",12056.52
"D","01/10/2023","04",12026.28
"D","01/10/2023","05",12305.18
"D","01/10/2023","06",12859.22
"D","01/10/2023","07",14021.86
"D","01/10/2023","08",14997.6
"D","01/10/2023","09",15048.92
"D","01/10/2023","10",14587.74
"D","01/10/2023","11",13899.94
"D","01/10/2023","12",13542.8
"D","01/10/2023","13",13069.48
"D","01/10/2023","14",13194.53
"D","01/10/2023","15",13546.45
"D","01/10/2023","16",14443.18
"D","01/10/2023","17",15594.65
"D","01/10/2023","18",16622.79
"D","01/10/2023","19",16539.03
"D","01/10/2023","20",16156.37
"D","01/10/2023","21",15584.06
"D","01/10/2023","22",14745.12
"D","01/10/2023","23",13721.67
"D","01/10/2023","24",12875.17
"D","01/11/2023","01",12803.15
"D","01/11/2023","02",12598.65
"D","01/11/2023","03",12496.37
"D","01/11/2023","04",12573.81
"D","01/11/2023","05",12990.05
"D","01/11/2023","06",13687.82
"D","01/11/2023","07",14921.82
"D","01/11/2023","08",15872.39
"D","01/11/2023","09",15503.4
"D","01/11/2023","10",14292.2
"D","01/11/2023","11",13581.48
"D","01/11/2023","12",13252.02
"D","01/11/2023","13",13151.58
"D","01/11/2023","14",13677.9
"D","01/11/2023","15",14335.42
"D","01/11/2023","16",15060.48
"D","01/11/2023","17",16168.69
"D","01/11/2023","18",16934.61
"D","01/11/2023","19",16780.91
"D","01/11/2023","20",16464.1
"D","01/11/2023","21",15837.36
"D","01/11/2023","22",14960.42
"D","01/11/2023","23",13884.82
"D","01/11/2023","24",12904.46
"D","01/12/2023","01",12502.8
"D","01/12/2023","02",12489.84
"D","01/12/2023","03",12303.84
"D","01/12/2023","04",12313.96
"D","01/12/2023","05",12621.78
"D","01/12/2023","06",12936.7
"D","01/12/2023","07",14334.52
"D","01/12/2023","08",15385.2
"D","01/12/2023","09",15728.96
"D","01/12/2023","10",15884.72
"D","01/12/2023","11",16032.81
"D","01/12/2023","12",16064.06
"D","01/12/2023","13",16058.28
"D","01/12/2023","14",15973.29
"D","01/12/2023","15",15837.52
"D","01/12/2023","16",15864.36
"D","01/12/2023","17",16342.44
"D","01/12/2023","18",16676.6
"D","01/12/2023","19",16335.06
"D","01/12/2023","20",15761.49
"D","01/12/2023","21",15047.42
"D","01/12/2023","22",14082.5
"D","01/12/2023","23",12964.33
"D","01/12/2023","24",12279.54
"D","01/13/2023","01",12094.04
"D","01/13/2023","02",12006.7
"D","01/13/2023","03",11863.65
"D","01/13/2023","04",11769.44
"D","01/13/2023","05",11958.72
"D","01/13/2023","06",12571.11
"D","01/13/2023","07",13096.52
"D","01/13/2023","08",13666.1
"D","01/13/2023","09",14090.93
"D","01/13/2023","10",14291.88
"D","01/13/2023","11",14351.48
"D","01/13/2023","12",14392.89
"D","01/13/2023","13",14361.74
"D","01/13/2023","14",14309.11
"D","01/13/2023","15",14197.66
"D","01/13/2023","16",14332.94
"D","01/13/2023","17",14619.0
"D","01/13/2023","18",15013.71
"D","01/13/2023","19",14750.62
"D","01/13/2023","20",14276.5
"D","01/13/2023","21",13816.85
"D","01/13/2023","22",13208.6
"D","01/13/2023","23",12636.16
"D","01/13/2023","24",12005.0
"D","01/14/2023","01",11504.88
"D","01/14/2023","02",11391.31
"D","01/14/2023","03",11547.93
"D","01/14/2023","04",11585.7
"D","01/14/2023","05",11531.6
"D","01/14/2023","06",11557.01
"D","01/14/2023","07",12209.52
"D","01/14/2023","08",12806.95
"D","01/14/2023","09",13486.56
"D","01/14/2023","10",14059.0
"D","01/14/2023","11",14347.82
"D","01/14/2023","12",14427.88
"D","01/14/2023","13",14410.41
"D","01/14/2023","14",14405.97
"D","01/14/2023","15",14439.27
"D","01/14/2023","16",14632.73
"D","01/14/2023","17",15216.96
"D","01/14/2023","18",15776.88
"D","01/14/2023","19",15591.05
"D","01/14/2023","20",15120.98
"D","01/14/2023","21",14649.37
"D","01/14/2023","22",14041.9
"D","01/14/2023","23",13316.6
"D","01/14/2023","24",12827.11
"D","01/15/2023","01",12625.99
"D","01/15/2023","02",12249.0
"D","01/15/2023","03",12293.09
"D","01/15/2023","04",12523.4
"D","01/15/2023","05",12599.2
"D","01/15/2023","06",12623.72
"D","01/15/2023","07",12758.38
"D","01/15/2023","08",13108.57
"D","01/15/2023","09",13288.38
"D","01/15/2023","10",13428.96
"D","01/15/2023","11",13462.15
"D","01/15/2023","12",13558.45
"D","01/15/2023","13",13565.16
"D","01/15/2023","14",13652.08
"D","01/15/2023","15",13943.83
"D","01/15/2023","16",14751.82
"D","01/15/2023","17",15345.85
"D","01/15/2023","18",16139.72
"D","01/15/2023","19",15943.8
"D","01/15/2023","20",15452.84
"D","01/15/2023","21",14940.94
"D","01/15/2023","22",14238.8
"D","01/15/2023","23",13419.11
"D","01/15/2023","24",12684.26
"D","01/16/2023","01",12741.96
"D","01/16/2023","02",12865.54
"D","01/16/2023","03",12971.22
"D","01/16/2023","04",13006.9
"D","01/16/2023","05",12937.41
"D","01/16/2023","06",13142.29
"D","01/16/2023","07",13942.92
"D","01/16/2023","08",14467.24
"D","01/16/2023","09",15035.77
"D","01/16/2023","10",15562.84
"D","01/16/2023","11",15639.0
"D","01/16/2023","12",15564.54
"D","01/16/2023","13",15560.8
"D","01/16/2023","14",15611.11
"D","01/16/2023","15",15662.78
"D","01/16/2023","16",15791.92
"D","01/16/2023","17",16384.72
"D","01/16/2023","18",17059.4
