Date,Hour,NUCLEAR,GAS,HYDRO,WIND,SOLAR,BIOFUEL,Total Output
1/1/2023,1,9977,130,4185,533,0,19,14844
1/1/2023,2,9993,130,3928,688,0,19,14758
1/1/2023,3,9996,129,3725,693,0,19,14562
1/1/2023,4,9999,129,3860,685,0,19,14692
1/1/2023,5,10002,152,3826,658,0,19,14657
1/1/2023,6,10000,238,3680,710,0,19,14647
1/1/2023,7,10007,573,3964,592,0,19,15155
1/1/2023,8,10002,975,3670,508,0,24,15179
1/1/2023,9,10003,1252,3979,499,7,27,15767
1/1/2023,10,10006,1412,4008,728,29,27,16210
1/1/2023,11,10004,1715,4263,739,35,28,16784
1/1/2023,12,10004,1906,4675,859,51,28,17523
1/1/2023,13,10005,1977,4733,622,46,27,17410
1/1/2023,14,10005,1804,4845,624,50,26,17354
1/1/2023,15,9999,1246,4893,649,29,27,16843
1/1/2023,16,10002,1280,5008,527,13,27,16857
1/1/2023,17,9998,1657,5193,633,0,27,17508
1/1/2023,18,10004,2000,5297,790,0,27,18118
1/1/2023,19,10004,1993,5048,1034,0,31,18110
1/1/2023,20,10002,1486,4775,1166,0,30,17459
1/1/2023,21,9999,1220,4737,1260,0,31,17247
1/1/2023,22,10002,1166,4258,1254,0,31,16711
1/1/2023,23,10007,837,4178,1359,0,31,16412
1/1/2023,24,9999,372,3860,1361,0,20,15612
1/2/2023,1,10009,131,3804,1451,0,19,15414
1/2/2023,2,10016,131,3419,1536,0,19,15121
1/2/2023,3,10031,130,3676,1226,0,19,15082
1/2/2023,4,10027,309,3862,1075,0,19,15292
1/2/2023,5,10025,839,3340,854,0,19,15077
1/2/2023,6,10014,1484,3243,606,0,19,15366
1/2/2023,7,10017,1856,3417,501,0,24,15815
1/2/2023,8,10016,2101,3730,297,0,30,16174
1/2/2023,9,10013,2158,3995,342,6,30,16544
1/2/2023,10,10010,2162,4778,327,32,30,17339
1/2/2023,11,10011,2162,5076,269,68,30,17616
1/2/2023,12,10013,2151,5042,198,111,30,17545
1/2/2023,13,10009,2208,4444,184,214,30,17089
1/2/2023,14,10011,2253,4904,184,134,30,17516
1/2/2023,15,10017,2197,5514,159,113,30,18030
1/2/2023,16,10025,2246,5497,154,50,30,18002
1/2/2023,17,10025,2595,5896,164,10,30,18720
1/2/2023,18,10026,2887,6007,224,0,31,19175
1/2/2023,19,10025,2867,6025,335,0,31,19283
1/2/2023,20,10028,2721,5990,335,0,31,19105
1/2/2023,21,10026,1854,5697,528,0,31,18136
1/2/2023,22,10024,1240,5188,729,0,31,17212
1/2/2023,23,10025,754,4842,917,0,30,16568
1/2/2023,24,10029,568,4470,900,0,21,15988
1/3/2023,1,10027,655,4483,881,0,19,16065
1/3/2023,2,10026,696,4318,1061,0,19,16120
1/3/2023,3,10026,564,3944,1305,0,19,15858
1/3/2023,4,10032,547,3889,1104,0,19,15591
1/3/2023,5,10028,754,3975,1125,0,19,15901
1/3/2023,6,10025,1323,3527,1191,0,19,16085
1/3/2023,7,10030,1935,3867,1338,0,24,17194
1/3/2023,8,10028,2126,4023,1243,0,30,17450
1/3/2023,9,10024,2133,4393,1574,6,31,18161
1/3/2023,10,10026,2155,4514,1685,13,31,18424
1/3/2023,11,10031,2390,5206,1604,20,31,19282
1/3/2023,12,10020,2553,5167,1666,27,31,19464
1/3/2023,13,10022,2578,4886,1755,36,31,19308
1/3/2023,14,10022,2589,5235,1513,32,31,19422
1/3/2023,15,10022,2886,5401,1361,26,31,19727
1/3/2023,16,10021,2875,5198,1268,12,31,19405
1/3/2023,17,10031,2833,5259,1224,0,31,19378
1/3/2023,18,10027,2803,5985,1384,0,31,20230
1/3/2023,19,10032,2324,6022,1372,0,30,19780
1/3/2023,20,10034,2195,5538,1261,0,30,19058
1/3/2023,21,10030,1901,5233,1139,0,30,18333
1/3/2023,22,10028,1450,5184,1108,0,28,17798
1/3/2023,23,10034,488,5067,1154,0,30,16773
1/3/2023,24,10028,258,5129,916,0,20,16351
1/4/2023,1,10029,462,4690,873,0,19,16073
1/4/2023,2,10029,584,4055,1120,0,19,15807
1/4/2023,3,10029,554,4069,1180,0,19,15851
1/4/2023,4,10032,566,4141,1279,0,19,16037
1/4/2023,5,10030,679,4203,1319,0,19,16250
1/4/2023,6,10036,1008,4014,1204,0,19,16281
1/4/2023,7,10033,1254,4072,1370,0,19,16748
1/4/2023,8,10039,1654,3943,1515,0,23,17174
1/4/2023,9,10009,1861,4008,1556,6,30,17470
1/4/2023,10,9971,1935,4728,1546,17,30,18227
1/4/2023,11,9926,2418,4912,1607,29,30,18922
1/4/2023,12,9818,2607,4934,1593,27,30,19009
1/4/2023,13,9895,2580,5154,1533,38,30,19230
1/4/2023,14,10015,2444,5227,1538,57,30,19311
1/4/2023,15,10019,2403,5359,1737,48,30,19596
1/4/2023,16,10017,2165,5273,1670,27,30,19182
1/4/2023,17,10015,2079,5656,1895,4,30,19679
1/4/2023,18,10018,2323,5810,1855,0,30,20036
1/4/2023,19,10026,2110,5716,2013,0,30,19895
1/4/2023,20,10029,1951,5746,2320,0,30,20076
1/4/2023,21,10030,1972,5508,2536,0,30,20076
1/4/2023,22,10033,1339,5333,2562,0,30,19297
1/4/2023,23,10030,945,5081,2455,0,30,18541
1/4/2023,24,10029,368,4509,2540,0,22,17468
1/5/2023,1,10032,133,4065,2601,0,19,16850
1/5/2023,2,10032,132,3857,2765,0,19,16805
1/5/2023,3,10036,132,3715,2826,0,19,16728
1/5/2023,4,10037,243,3825,2599,0,19,16723
1/5/2023,5,10035,452,4030,2246,0,19,16782
1/5/2023,6,10034,806,3793,1818,0,19,16470
1/5/2023,7,10041,1066,4168,1610,0,19,16904
1/5/2023,8,10038,1459,5111,1529,0,24,18161
1/5/2023,9,10037,1753,5471,1547,11,30,18849
1/5/2023,10,10034,1923,5231,1569,28,30,18815
1/5/2023,11,9519,2453,5802,1515,53,30,19372
1/5/2023,12,8978,3520,5601,1415,63,30,19607
1/5/2023,13,8974,3760,5326,1235,88,30,19413
1/5/2023,14,8977,3869,5411,1096,73,30,19456
1/5/2023,15,8977,3328,5484,925,57,30,18801
1/5/2023,16,8976,3471,5864,694,23,30,19058
1/5/2023,17,8973,3963,5907,751,4,30,19628
1/5/2023,18,8980,4121,5931,658,0,30,19720
1/5/2023,19,8982,3963,5942,836,0,29,19752
1/5/2023,20,8982,3555,5886,937,0,26,19386
1/5/2023,21,8981,3497,5781,857,0,31,19147
1/5/2023,22,8983,2516,5495,806,0,33,17833
1/5/2023,23,8984,2410,4960,705,0,32,17091
1/5/2023,24,8981,1939,4768,694,0,24,16406
1/6/2023,1,8980,1848,4415,678,0,20,15941
1/6/2023,2,8985,1842,3980,729,0,20,15556
1/6/2023,3,8987,2272,3919,754,0,20,15952
1/6/2023,4,8981,2636,3890,720,0,20,16247
1/6/2023,5,8978,2388,3538,734,0,20,15658
1/6/2023,6,8983,2552,3618,734,0,20,15907
1/6/2023,7,8988,3048,4606,757,0,22,17421
1/6/2023,8,8984,3643,4874,926,0,46,18473
1/6/2023,9,8981,4143,4892,968,8,64,19056
1/6/2023,10,8984,4512,4959,912,33,55,19455
1/6/2023,11,9024,4236,4929,834,96,63,19182
1/6/2023,12,9060,4391,4929,741,92,67,19280
1/6/2023,13,9067,4336,4967,629,84,67,19150
1/6/2023,14,9068,4128,4950,846,67,65,19124
1/6/2023,15,9069,3863,5037,941,57,67,19034
1/6/2023,16,9066,4014,5562,875,28,66,19611
